Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
77.23352577681736,24,33854.810580105266,54.252550842858426,Discover Enhanced dedicated firmware!,Hernandezview,0,Guernsey,2025-03-17 15:28:33.894761,1
85.61999044991902,23,63601.50687531973,167.5939771063417,Discover Centralized zero-defect methodology!,East Kellystad,1,Cocos (Keeling) Islands,2024-11-24 04:10:31.564337,1
83.62560238232398,39,68139.60756868869,93.21325988179004,Discover Automated user-facing synergy!,West Brent,1,Portugal,2024-12-18 17:07:35.010408,1
48.21564953554723,32,66832.96323778188,139.1060819774124,Discover Reduced transitional circuit!,Melendezfort,0,Hungary,2025-03-14 12:02:38.184678,1
58.81575248297571,18,71631.6499046085,113.62470658246279,Discover Up-sized asynchronous moderator!,Port Kyleburgh,0,Pitcairn Islands,2024-07-29 00:59:06.582106,1
71.62526862807128,39,73617.01480022202,117.92171940862822,Discover Innovative logistical implementation!,New Cody,1,Lithuania,2025-04-07 08:18:30.862568,1
84.51090254244718,20,23071.14686759604,207.75831758471952,Discover Operative bi-directional superstructure!,Nicholstown,1,Central African Republic,2024-06-21 04:31:11.333117,1
55.4165152430942,36,61756.179398942,152.77070083182645,Discover Progressive non-volatile algorithm!,Taylormouth,1,Micronesia,2025-02-26 14:54:56.565242,1
61.286820466723654,37,47055.87700645662,176.18753611814364,Discover Automated 4thgeneration adapter!,Lisaburgh,0,Bahamas,2024-07-26 21:36:49.847016,1
42.873300519879436,43,43788.636310143454,146.03765416810973,Discover Visionary mission-critical firmware!,Lake Joe,1,Turks and Caicos Islands,2025-02-14 01:27:06.555806,1
41.07586751838659,52,63406.21948313058,164.80054298619817,Discover Reactive analyzing superstructure!,Wolfton,0,Brazil,2024-11-16 08:19:47.000058,1
81.25051644788397,21,29045.567801563724,156.69513448573807,Discover Cloned optimizing parallelism!,Jasonberg,1,Equatorial Guinea,2025-04-07 11:18:44.328105,1
92.12480057141646,34,28733.3709119152,150.17824578747303,Discover Extended exuding installation!,West Paulatown,0,Mauritius,2025-01-18 14:30:29.498734,1
63.55979756839332,32,64503.591161225755,184.2862363665872,Discover Synergized tertiary knowledgebase!,Wilsonfurt,0,Azerbaijan,2024-06-20 13:56:11.599076,1
85.07065795784048,39,62316.79026266347,146.2602181537708,Discover Ameliorated dynamic encryption!,Stanleychester,1,Marshall Islands,2025-02-05 16:21:17.823821,1
72.23272050095268,37,57050.98983807265,231.4059428887082,Discover Monitored zero administration knowledge user!,Robertsstad,1,Cote d'Ivoire,2025-04-04 16:36:37.284944,1
52.09760490789751,31,41801.298929152945,178.42126291249753,Discover Streamlined bandwidth-monitored attitude!,Perezborough,1,Saint Martin,2024-09-05 06:55:59.222542,1
72.22791211016828,30,66157.44451873186,94.4183720904124,Discover Synergistic uniform software!,Michaelmouth,0,Guatemala,2025-04-03 00:35:08.996171,1
95.76073132931938,23,65204.54338090714,132.9380116406807,Discover Adaptive dynamic attitude!,South Angela,1,Netherlands,2024-11-07 00:29:29.906695,1
64.28347921780097,44,56279.567725711815,155.88310397962672,Discover Synchronized eco-centric benchmark!,Bensonstad,1,Isle of Man,2024-10-12 02:41:03.143634,1
96.29287311628012,39,37340.18438095343,141.77987342848147,Discover Triple-buffered dynamic utilization!,North Ashleybury,0,Nicaragua,2024-11-03 22:57:48.104899,1
20.0,44,48621.2748140574,167.4749367588867,Discover Future-proofed real-time application!,Moorefort,0,Panama,2024-07-01 11:39:37.938391,1
81.43805008750448,31,67567.50516286664,171.88066819335495,Discover Re-engineered interactive framework!,Lake Eduardoside,1,Turkey,2024-10-11 06:13:16.796498,1
66.74094136476343,28,74907.8683420268,85.61652056804141,Discover Streamlined dedicated access!,New Karen,0,Cuba,2024-07-19 16:27:52.120471,1
59.01985299068265,24,50101.95094935507,191.24310178865977,Discover Cross-group empowering architecture!,Frostville,1,Antigua and Barbuda,2024-12-11 17:59:19.807942,1
66.83521553071004,38,51254.90548287606,120.12730138055822,Discover Adaptive composite software!,Sabrinamouth,1,Israel,2024-06-12 16:52:50.423133,1
25.248621707982146,24,52574.663379624086,116.16381976540971,Discover Function-based directional standardization!,Lewisport,1,Australia,2024-07-20 10:37:17.145885,1
60.60656224324976,53,59123.395133664584,116.03510429177838,Discover Re-contextualized needs-based info-mediaries!,East Timothyville,1,Kenya,2024-06-20 16:31:58.262407,1
72.14225143023492,21,46283.990499099644,172.3430562396233,Discover Robust real-time secured line!,Lake Stephenburgh,0,Saint Vincent and the Grenadines,2025-04-14 11:22:33.284502,1
94.55788089483032,37,20000.0,129.31729207408856,Discover User-centric reciprocal middleware!,Robinside,0,Djibouti,2024-08-10 21:33:50.861191,1
54.63459563452705,50,72891.53502470645,113.4579342264917,Discover Balanced grid-enabled instruction set!,New Earlshire,0,Papua New Guinea,2024-05-20 23:28:53.778032,1
48.830127942136244,40,81920.33420743824,123.04163370225851,Discover Polarized responsive matrices!,Brendamouth,0,Anguilla,2024-06-19 18:52:21.866268,1
54.96485912830927,36,45814.00210591431,68.21233364336491,Discover Open-source full-range matrices!,Royside,0,Palau,2025-03-24 06:38:29.297910,1
83.30804235404148,25,39000.199466218386,106.31344944194052,Discover Multi-tiered non-volatile initiative!,East Lonnie,1,Saint Martin,2024-11-14 19:19:59.736783,1
71.57502219319369,21,52943.492164146664,90.41665805387602,Discover Enhanced optimizing groupware!,Nelsonbury,1,Switzerland,2025-04-07 19:51:53.866619,1
54.404795924659226,42,52187.441744068405,129.23322678016436,Discover Triple-buffered tertiary migration!,Maxwellchester,1,Netherlands,2025-01-17 03:59:51.076760,1
75.26534866226712,50,69932.77865744439,166.5677308109437,Discover Exclusive national alliance!,Matthewchester,0,Costa Rica,2024-05-28 06:42:11.357803,1
66.9415509869608,30,55819.591624675566,162.15503603732907,Discover Diverse tangible functionalities!,Sharpborough,1,Guinea-Bissau,2024-05-09 13:49:17.349232,1
84.37289981065778,23,43110.65754443225,190.27001990186332,Discover Public-key multi-tasking neural-net!,Brownchester,1,Belize,2025-03-14 05:17:32.893302,1
50.95893812245295,18,35223.85824162926,181.35903269186483,Discover Reduced static knowledge user!,Delacruzview,0,Samoa,2024-08-22 01:29:03.533785,1
58.44675706804463,25,67984.5127722951,118.85613140326491,Discover Down-sized multi-tasking conglomeration!,Justinstad,0,Isle of Man,2024-07-11 07:42:40.781922,1
57.15783693735685,33,63992.66861746374,140.76285603014853,Discover Switchable even-keeled challenge!,Lake Jason,1,Kazakhstan,2024-12-29 02:32:28.205215,1
35.72970103735763,50,70908.39817137728,138.69775623114325,Discover Proactive well-modulated frame!,Davisside,0,Nauru,2024-09-15 03:59:43.663787,1
70.92240554129152,41,40477.198739183594,53.95789269112453,Discover Multi-channeled stable open architecture!,Lake Jorgeton,1,Senegal,2024-07-20 20:40:59.930102,1
70.22110544359779,38,82576.55349292494,91.30961852361023,Discover Intuitive static support!,East Joseph,1,Burkina Faso,2025-03-05 22:20:59.790966,1
65.10226913284922,30,28844.582394141446,133.3085329139555,Discover Ameliorated executive standardization!,Lake Jessica,0,United States Minor Outlying Islands,2024-09-19 18:51:17.712060,1
60.308257332497064,29,65644.01532102219,133.08414259436768,Discover Profound dedicated matrix!,West Anthony,0,Benin,2025-01-19 03:31:21.705410,1
36.69258515899172,49,26356.258492046476,160.4930021682067,Discover Devolved 5thgeneration process improvement!,Hessmouth,0,France,2025-01-29 18:20:55.480275,1
56.58709354469282,37,43145.02927452298,158.54566518143392,Discover De-engineered holistic system engine!,Williamstown,1,British Virgin Islands,2024-11-21 12:42:07.774482,1
58.14570966946461,18,78415.34395671939,69.17229991601059,Discover User-friendly demand-driven success!,East Brian,1,Austria,2024-12-31 21:06:51.842995,1
48.95445461556762,28,67470.46381713984,160.7438693783012,Discover Distributed needs-based core!,Thomasmouth,1,Argentina,2024-08-18 06:46:53.229562,1
61.77428576667982,26,46806.69376769227,147.14348825815054,Discover Sharable multi-tasking knowledge user!,New Davidborough,1,Yemen,2024-10-02 22:52:18.733735,1
73.08101713629077,29,47217.44435767468,164.93492726578518,Discover Organic didactic product!,East Alishamouth,1,Benin,2025-01-13 12:32:33.839667,1
102.7237180242106,40,56509.33166253163,182.6746235056636,Discover Automated transitional matrix!,Lake John,0,Myanmar,2025-03-30 08:57:24.752403,1
68.49155625663678,33,62712.11486141084,134.28468108848114,Discover Intuitive bifurcated matrices!,East Caseymouth,1,Venezuela,2025-03-27 05:16:09.194192,1
70.15100781445528,34,73773.69074024045,189.8235294792032,Discover Assimilated analyzing monitoring!,Lake Leslie,1,Netherlands Antilles,2024-05-28 12:55:19.510399,1
63.511081684676654,48,48156.48993087258,104.42398184427813,Discover De-engineered modular info-mediaries!,East Andreaside,0,Algeria,2024-12-09 02:40:46.946714,1
26.62457569401917,28,30823.224047691976,102.17047518511126,Discover Automated coherent utilization!,Pamelashire,1,Niue,2024-07-24 08:46:40.268542,1
64.46972249101566,53,57354.5294057314,157.15088760542164,Discover Managed fault-tolerant attitude!,Lake Sandra,1,Hungary,2024-08-06 15:19:01.315387,1
66.20460419882053,28,48138.53743737408,125.2492981877928,Discover Visionary mission-critical frame!,Fowlerburgh,0,Christmas Island,2024-07-15 23:38:07.180901,1
114.26484224970572,35,35490.494428773294,150.46530258475877,Discover Cross-platform coherent moratorium!,Richardchester,1,Micronesia,2024-12-10 04:53:51.704959,1
61.15278070437755,32,59465.03372969192,219.71928479377965,Discover Devolved 5thgeneration analyzer!,New William,1,Kenya,2025-03-06 08:12:54.482931,1
71.03094684667225,36,51803.29368860816,155.73980294015902,Discover User-friendly zero tolerance artificial intelligence!,Lake Staceyburgh,1,Norway,2024-10-17 06:35:04.750845,1
64.30576460589513,39,59597.68309704692,148.48678155456477,Discover Business-focused bandwidth-monitored superstructure!,Teresaton,0,Mauritius,2024-10-11 20:35:06.457032,1
41.626439247609355,39,41583.336997192295,105.23118485392611,Discover Triple-buffered 24hour data-warehouse!,Granthaven,1,Costa Rica,2025-04-10 09:33:54.430077,1
87.85645629030041,27,62300.65795488248,72.00080773502614,Discover Distributed bottom-line solution!,East Jason,0,Malta,2025-02-05 13:13:56.292307,1
80.03866065373549,23,35243.52704867533,137.09813538905956,Discover Stand-alone multi-tasking budgetary management!,Nicholasville,1,Anguilla,2025-01-26 06:16:21.946758,1
80.82063894086093,60,42584.02915455125,182.67480986432787,Discover Optimized high-level matrix!,Juanton,0,Lithuania,2025-01-12 21:36:07.986241,1
46.81225090410522,30,51356.286533690836,127.08247971757304,Discover Business-focused regional groupware!,South James,0,Afghanistan,2024-07-02 18:00:27.898588,1
93.05588621872198,41,81127.27622439571,156.05849996821476,Discover Fundamental real-time architecture!,Annaberg,1,Macao,2025-02-07 05:16:08.422711,1
36.962978744154384,18,66772.38052822741,197.05989090874328,Discover Multi-lateral 24hour throughput!,Port Meganville,1,Denmark,2024-08-07 01:51:54.368886,1
76.73714187600541,32,71157.88756401684,196.0606525292144,Discover Organic didactic hub!,North Thomas,1,Sierra Leone,2025-03-01 14:40:03.205582,1
108.80911251619958,33,76256.15550014717,157.1526355040713,Discover Down-sized content-based parallelism!,Bradystad,0,Russian Federation,2024-07-31 01:02:14.967745,1
45.18927349738623,39,100000.0,146.8042591462937,Discover Cross-group zero-defect conglomeration!,Ayalaport,1,Mali,2025-02-07 00:31:52.253544,1
53.67404540794456,18,55623.83601337651,79.25467803987698,Discover Object-based mobile website!,Christinamouth,0,South Georgia and the South Sandwich Islands,2024-10-01 02:59:13.760041,1
66.99302730175282,36,76306.01384694784,114.79221423292238,Discover Ergonomic dedicated project!,North Carlashire,0,Iran,2025-04-25 02:27:28.820761,1
54.93048691767601,23,70189.52881602911,128.76976767927707,Discover Public-key high-level migration!,Jeffshire,1,Canada,2025-02-18 14:04:34.607753,1
33.98673137867735,38,69940.48754961288,105.90673554263391,Discover Enhanced multi-tasking customer loyalty!,Thompsonburgh,0,Tonga,2025-01-17 23:45:26.362915,1
66.37125949612054,24,81613.59427060271,149.93813051811057,Discover Open-source homogeneous instruction set!,Dominicbury,0,Timor-Leste,2024-11-26 01:44:06.190881,1
43.7539257254779,26,48710.304535232855,216.46592733944402,Discover Function-based value-added leverage!,Port Markview,1,Fiji,2024-10-12 18:32:51.222387,1
74.47184861270364,32,47519.72464095431,200.71046370646468,Discover Adaptive human-resource structure!,Bennettshire,1,Philippines,2024-08-16 15:15:39.906942,1
46.61151531532394,24,59796.48270222792,149.75519447324828,Discover Optional tertiary utilization!,Brownshire,1,Lebanon,2024-12-07 23:16:27.930313,1
95.99868810035079,30,52259.50342117169,171.17736288099314,Discover Vision-oriented actuating concept!,Rodneyfurt,1,Dominica,2025-04-06 20:39:30.858811,1
49.334934153275256,23,59777.512794972594,110.85582738575525,Discover Phased zero-defect focus group!,Lake Tiffany,0,Saint Lucia,2024-11-28 15:05:52.239042,1
58.55876967588649,18,78441.23177579517,198.56357402675206,Discover Secured solution-oriented adapter!,Dayland,0,Turks and Caicos Islands,2024-12-25 11:35:33.296668,1
81.27034434739339,45,47827.799159405826,77.52133616219278,Discover Open-architected next generation throughput!,Amberfort,1,Chile,2025-02-20 22:40:03.802891,1
40.3827136713209,22,50429.815561094045,176.51312644344648,Discover Balanced non-volatile service-desk!,New Jennifer,0,Qatar,2024-06-13 05:14:12.343082,1
69.54919869208258,33,57614.66505289866,159.823588407991,Discover Multi-layered fresh-thinking success!,Lake Clarencebury,1,Heard Island and McDonald Islands,2024-12-21 15:03:20.451890,1
91.14285508564856,42,51575.22360962246,109.76562452982301,Discover Up-sized reciprocal open architecture!,Richardsonmouth,0,Pitcairn Islands,2024-12-01 08:50:05.379446,1
32.85033530877545,28,26289.912579797692,131.6485297304825,Discover Synchronized bifurcated data-warehouse!,South Anthony,1,Botswana,2024-05-17 19:15:58.249707,1
68.69267717064608,26,46298.085359515906,94.62989187375763,Discover Quality-focused grid-enabled concept!,East Michaelfurt,0,Lao People's Democratic Republic,2025-02-02 08:10:22.187497,1
70.19765588496847,37,65310.598633562564,96.33439808791071,Discover Function-based didactic customer loyalty!,Port Samuel,0,Mexico,2024-07-08 01:06:26.953067,1
80.6364574355462,46,76563.2012639897,76.3578399750428,Discover Total optimal time-frame!,Jessicaton,1,Bulgaria,2024-06-18 00:48:42.186941,1
40.26098578243836,23,37680.7214869341,170.70055608802846,Discover Customizable well-modulated hub!,Janetmouth,0,Moldova,2024-08-25 11:23:27.354904,1
38.59086773831447,33,37610.76401153735,188.21379877706724,Discover Reactive holistic projection!,Greertown,1,Cameroon,2024-12-16 21:46:41.424850,1
75.43883131233795,18,55453.507040760036,53.52768544746296,Discover Proactive client-driven archive!,Grahamberg,1,Grenada,2024-08-01 12:46:49.342848,1
70.93969346466372,31,23866.074026832448,213.53222064606024,Discover Multi-tiered zero-defect attitude!,Ramirezport,1,Djibouti,2025-02-27 20:57:38.049401,1
70.00985700691753,35,48325.44695519309,139.5196705345264,Discover Cloned tertiary hardware!,Randallland,0,Turkmenistan,2024-12-26 07:59:31.200291,1
71.9289641899395,26,28959.369106729097,151.59412819507352,Discover Optional upward-trending paradigm!,Odonnellburgh,1,Congo,2024-12-08 18:39:26.626619,1
51.399505568430186,30,75535.91949763698,81.10348657659695,Discover Front-line human-resource infrastructure!,Collierport,1,Holy See (Vatican City State),2024-10-24 09:08:15.777185,1
69.64507394322007,20,43460.032684743936,192.83303000659458,Discover Focused incremental access!,West Amyshire,1,Solomon Islands,2025-03-13 07:26:10.277411,1
70.86144946597362,35,79792.51279508541,148.01000372667338,Discover Sharable exuding capability!,Christopherstad,1,Isle of Man,2024-10-01 01:50:59.845506,1
50.71297163947264,45,71702.8203018751,185.55304959085197,Discover Exclusive maximized instruction set!,Lake Keith,1,Nauru,2024-06-21 12:51:59.771257,1
102.31549022289514,24,45305.24053453875,188.83433282590974,Discover Multi-layered real-time utilization!,South Toddchester,1,Belgium,2024-11-22 08:10:21.933975,1
74.47665841823576,28,38920.60544730884,193.39497690885082,Discover Proactive tangible leverage!,Martinezland,0,British Indian Ocean Territory (Chagos Archipelago),2024-11-30 18:35:24.850856,1
41.173930055947025,40,52096.81376248617,114.06876896591189,Discover Visionary hybrid product!,Pierceberg,1,Morocco,2024-11-17 08:53:39.427565,1
78.1310721726766,47,53430.30063612695,131.68151968427182,Discover Synergized regional open system!,Veronicaland,0,Rwanda,2024-12-25 23:32:16.597716,1
45.50636659545357,20,60192.20415928602,115.53191701081941,Discover Switchable demand-driven product!,Thomasview,1,Yemen,2024-07-21 10:14:55.186208,1
80.74169207484904,33,43351.85065704732,175.80385850965132,Discover Exclusive upward-trending analyzer!,Williamsmouth,0,Andorra,2024-09-13 16:40:07.496639,1
88.17191158014808,37,66195.92310283304,153.31556917454964,Discover Switchable local pricing structure!,South Lisa,0,Chad,2024-11-17 08:25:21.145783,1
48.58635363296579,33,58979.920824998495,182.7657945605295,Discover Adaptive full-range Graphic Interface!,Knightfurt,1,Micronesia,2024-08-10 14:14:03.479472,1
84.26752258488644,18,49894.07264926204,184.50955212228928,Discover Organic object-oriented challenge!,Fisherland,0,Romania,2024-06-21 04:25:18.148093,1
73.25561853872996,40,44319.39016872965,70.90962036244369,Discover Grass-roots well-modulated system engine!,Wesleyport,0,Mexico,2025-02-24 10:23:42.469279,1
81.4412031998898,50,52226.72525351971,194.0308052221549,Discover Adaptive actuating portal!,West Sarahbury,1,Belgium,2024-11-13 02:42:39.079409,1
102.93585965307895,36,42746.48122258646,178.03443831062867,Discover Reduced foreground utilization!,New Michaelmouth,1,Equatorial Guinea,2024-07-12 04:38:04.774482,1
60.09223767994259,24,55876.580423253814,125.2310046725801,Discover Expanded scalable installation!,West Joshuamouth,0,Puerto Rico,2024-08-14 07:33:18.121548,1
49.925276712850206,29,56281.58027829864,153.99171066118515,Discover Programmable 24/7 projection!,Marilynbury,0,Kazakhstan,2024-09-01 16:42:15.696353,1
47.209711407489536,52,58925.60925214509,135.05321713669184,Discover Optimized exuding concept!,Orrburgh,0,Timor-Leste,2024-11-04 19:56:48.969589,1
48.68379430069123,44,81493.6361450778,164.64222714524703,Discover Extended mobile intranet!,Tinachester,0,Iceland,2024-09-14 23:54:47.676226,1
63.45796581171792,41,53013.329204506415,125.14414477180495,Discover Profound coherent hierarchy!,Johnsonfurt,1,Jordan,2025-01-21 11:02:40.114257,1
71.82303949633288,38,70068.96800686723,159.1570896467643,Discover Profit-focused incremental Internet solution!,Ashleystad,0,United States Minor Outlying Islands,2024-12-14 18:05:00.505964,1
70.53381598660039,28,58443.810954635526,142.6922121863741,Discover Organized impactful system engine!,Michaelborough,0,Saint Lucia,2024-05-17 04:46:06.626374,1
81.54366498072048,32,51426.33547152319,122.71224386018778,Discover Organized bi-directional concept!,Parkerside,1,Nicaragua,2024-08-22 14:21:15.295937,1
65.26003783755814,34,53212.61095073149,147.60544979608235,Discover Multi-channeled system-worthy intranet!,Lake Katherineland,1,Gabon,2024-09-29 11:26:49.116802,1
94.07068154314634,40,54117.60386247925,248.25878293955031,Discover Upgradable zero administration moderator!,East John,1,Cook Islands,2024-08-15 13:12:03.908524,1
59.70686333524088,50,59196.51561592324,112.57853480697273,Discover Switchable dedicated access!,Flemingmouth,0,Antarctica (the territory South of 60 deg S),2024-08-09 02:22:52.136691,1
119.40338333179238,46,40610.18852171545,130.00225634953722,Discover Multi-layered foreground initiative!,North Ryan,1,Somalia,2025-03-16 07:44:06.828457,1
77.51334695530012,20,33019.894248325494,113.27550401467877,Discover Operative static instruction set!,Danielshire,1,Cocos (Keeling) Islands,2025-01-17 20:19:56.315597,1
